127.0.0.1, 2016-12-24 20:06:36, GET, /eadtools/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 20:06:40, GET, /eadtools/default/planosdeentrega, HTTP/1.1, 200, 0.278000
127.0.0.1, 2016-12-24 20:08:21, GET, /eadtools/default/planosdeentrega, HTTP/1.1, 200, 0.645000
127.0.0.1, 2016-12-24 20:08:23, GET, /eadtools/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 20:08:26, GET, /eadtools/default/planosdeentrega/disciplina/planodeentrega.disciplina_id/1, HTTP/1.1, 200, 0.294000
127.0.0.1, 2016-12-24 20:08:30, GET, /eadtools/default/planosdeentrega, HTTP/1.1, 200, 0.415000
127.0.0.1, 2016-12-24 20:09:57, GET, /eadtools/default/planosdeentrega, HTTP/1.1, 200, 1.006000
127.0.0.1, 2016-12-24 20:09:59, GET, /eadtools/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 20:14:20, GET, /eadtools/default/planosdeentrega, HTTP/1.1, 200, 0.284000
127.0.0.1, 2016-12-24 20:14:22, GET, /eadtools/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 20:20:57, GET, /eadtools/default/planosdeentrega, HTTP/1.1, 200, 0.198000
127.0.0.1, 2016-12-24 20:22:23, GET, /eadtools/default/planosdeentrega, HTTP/1.1, 200, 0.265000
127.0.0.1, 2016-12-24 20:22:24, GET, /eadtools/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-12-24 20:22:24, GET, /eadtools/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-12-24 20:22:24, GET, /eadtools/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-12-24 20:22:24, GET, /eadtools/static/js/share.js, HTTP/1.1, 200, 0.047000
127.0.0.1, 2016-12-24 20:22:24, GET, /eadtools/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.156000
127.0.0.1, 2016-12-24 20:22:24, GET, /eadtools/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.250000
127.0.0.1, 2016-12-24 20:22:24, GET, /eadtools/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-12-24 20:22:24, GET, /eadtools/static/js/jquery.js, HTTP/1.1, 200, 0.297000
127.0.0.1, 2016-12-24 20:22:24, GET, /eadtools/static/js/web2py.js, HTTP/1.1, 200, 0.250000
127.0.0.1, 2016-12-24 20:22:24, GET, /eadtools/static/js/calendar.js, HTTP/1.1, 200, 0.375000
127.0.0.1, 2016-12-24 20:22:24, GET, /eadtools/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.406000
127.0.0.1, 2016-12-24 20:22:26, GET, /eadtools/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-12-24 20:22:26, GET, /eadtools/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-12-24 20:22:26, GET, /eadtools/static/images/gplus-32.png, HTTP/1.1, 200, 0.015000
127.0.0.1, 2016-12-24 20:23:24, GET, /eadtools/default/planosdeentrega, HTTP/1.1, 500, 0.187000
127.0.0.1, 2016-12-24 20:23:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-12-24 20:23:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-12-24 20:26:35, GET, /eadtools/default/planosdeentrega, HTTP/1.1, 500, 0.172000
127.0.0.1, 2016-12-24 20:26:37, GET, /admin/default/ticket/eadtools/127.0.0.1.2016-12-24.20-26-34.62632759-ede9-4fef-a0a5-de206a536e48, HTTP/1.1, 303, 0.049000
127.0.0.1, 2016-12-24 20:26:38, GET, /admin/default/index, HTTP/1.1, 200, 0.166000
127.0.0.1, 2016-12-24 20:26:38, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 20:26:38, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2016-12-24 20:26:38, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2016-12-24 20:26:38, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2016-12-24 20:26:38, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2016-12-24 20:26:38, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2016-12-24 20:26:38, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-12-24 20:26:38, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-12-24 20:26:38, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-12-24 20:26:38, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 20:26:38, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-24 20:26:38, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 20:26:38, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-24 20:26:39, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-24 20:26:44, POST, /admin/default/index, HTTP/1.1, 303, 0.169000
127.0.0.1, 2016-12-24 20:26:44, GET, /admin/default/ticket/eadtools/127.0.0.1.2016-12-24.20-26-34.62632759-ede9-4fef-a0a5-de206a536e48, HTTP/1.1, 200, 0.273000
127.0.0.1, 2016-12-24 20:27:09, GET, /eadtools/default/planosdeentrega, HTTP/1.1, 200, 0.236000
127.0.0.1, 2016-12-24 20:27:09, GET, /eadtools/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-12-24 20:27:09, GET, /eadtools/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-12-24 20:27:09, GET, /eadtools/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
